"dsiid","val"
4982,6.9
5313,13.5
5324,30.6363636363636
5406,1
5328,2
5334,1.6
5341,5.42857142857143
5343,1
5344,5
5346,2.83333333333333
5348,1
5306,1.5
5384,2.25
5378,1
5273,5.22222222222222
5274,1
5031,13.7272727272727
5032,1.5
5033,7.4
4713,17.3636363636364
5034,2
5287,2
5051,28.0909090909091
5288,1.33333333333333
5060,4.16666666666667
5070,43.3636363636364
5301,1
5364,2
4712,2
4832,1.5
4611,2
4612,1
4614,1
4617,1.75
4620,1.6
4625,2.8
4627,2.75
4861,1
4632,1
4652,1
4657,1
4884,1
4680,1
4885,1
4886,2
4831,1.25
4792,1
4793,1.5
4586,1.2
4800,2
4802,1
4809,1.25
4810,1
4811,1
4814,2
4812,2
4598,1.25
5349,1.25
4910,1.33333333333333
4920,2
4922,1.33333333333333
4688,1.33333333333333
4691,1.5
4960,1
4694,1
4697,1
4698,2.25
4699,1.75
4700,2.33333333333333
4701,1
4702,1.33333333333333
4703,1
4907,3.8
4890,1.88888888888889
4906,1.42857142857143
4791,1
5350,1
5416,22.7272727272727
5627,3.44444444444444
5629,1.6
5632,4.63636363636364
5635,2.33333333333333
5641,5.4
5643,1.25
5651,1
5649,5.875
5652,47
5941,9.33333333333333
5945,9.2
5946,21.3333333333333
5623,9.25
5613,7.3
5576,16.1
5578,13.3333333333333
5581,126.285714285714
5582,2.33333333333333
5583,7.16666666666667
5591,3.71428571428571
5592,5.09090909090909
5594,1.6
5595,14.9090909090909
5596,2
5599,8.5
5601,12
5604,18.9090909090909
5587,7.2
5588,16.2
5610,2.66666666666667
5612,3.4
5955,6.72727272727273
5970,2.7
6093,23.6363636363636
6095,24.1818181818182
6019,17
6027,13.2727272727273
6033,18.4
6036,18.5454545454545
6122,23.9090909090909
6123,13.9
6131,13.5454545454545
6139,51.4545454545455
6143,10.6
6144,7.77777777777778
6045,14.2727272727273
6080,3
6078,14.1
5976,22.7272727272727
5994,20.7272727272727
5992,21.5
6000,8.45454545454546
5575,16.1818181818182
6004,8.90909090909091
6009,18.4545454545455
6072,15.2
6076,9.09090909090909
6077,4.75
5574,11.3
5501,1.6
5506,13.8
5508,2.77777777777778
5786,7.5
5787,6.16666666666667
5788,17.5
5790,5.14285714285714
5791,12.2727272727273
5792,3.33333333333333
5793,3
5796,2.7
5800,1.85714285714286
5802,1.6
5806,1.33333333333333
5808,1.55555555555556
5810,3.4
5811,3.7
5497,2.625
5487,2.7
5417,4.85714285714286
5418,3.9
5427,3.5
5712,2.7
5735,1.33333333333333
5438,5.77777777777778
5443,1
5446,6
5448,1
5820,3
5452,1.57142857142857
5454,3.85714285714286
5756,8.44444444444444
5457,31.25
5459,7
5460,2.5
5464,3.8
5475,1.5
5753,4.28571428571429
5821,6
5822,3.75
5549,1
5922,2
5916,1
5918,3.75
5571,2.66666666666667
5572,1.44444444444444
5573,1
5895,1
5894,1.5
5823,3.3
5525,2.8
5848,1.5
5862,6.45454545454545
5865,13
5867,3.875
5869,3.7
5870,1
5871,1.25
5537,6.1
5538,4.88888888888889
5542,1.5
5892,5.6
4790,6.27272727272727
3702,11.4
3705,1
3718,1
3719,4.25
3743,7.36363636363636
3612,1.4
3578,6.1
3580,4.2
3676,3.57142857142857
3679,7.3
3582,1
3591,1.25
3593,1
3603,1
3686,11.0909090909091
3693,4.2
3698,1.71428571428571
3610,1
3747,2.28571428571429
3851,1
3799,1
3801,1
3810,5.63636363636364
3811,10.8181818181818
3869,7.2
3870,1
3776,1
3617,1.33333333333333
3618,1
3619,1
3620,8.7
3622,2.8
3624,1
3577,2
3650,6.66666666666667
3651,2
3652,2.63636363636364
3653,1.5
3834,9.45454545454546
3773,2
3647,1
3576,1
3569,1
3325,1
3326,3
3327,1
3328,4.33333333333333
3320,13.4444444444444
3289,2
3292,1
3294,28.7272727272727
3295,3.6
3296,3.44444444444444
3470,17.0909090909091
3298,1.77777777777778
3307,2.5
3317,1
3367,1
3476,1
3509,1
3528,1
3379,1
3533,1
3384,3.5
3540,11.625
3541,1.75
3554,1.66666666666667
3556,1
3562,5.33333333333333
3366,2
3321,17.3636363636364
3322,1.66666666666667
3323,4.9
3362,4.5
4331,2
4332,1
4464,1
4366,1
4370,14.8181818181818
4371,6.27272727272727
4372,6.90909090909091
4373,1.66666666666667
4330,23.6
4462,2
4093,3
4095,19.0909090909091
4100,1.66666666666667
4105,91.2727272727273
4110,3
4112,3
4117,3
4124,13.2857142857143
4277,3.1
4282,1
4287,3.875
4300,1
4458,6.36363636363636
4307,1
4320,1
4321,1
4325,4.8
4375,1
4384,1.375
4410,1.25
4723,6.88888888888889
4724,2.2
4548,2.375
4551,3
4565,1.875
4773,6.14285714285714
4779,1
4780,1
4781,1
4518,2.11111111111111
4511,3
4420,3.375
4421,2.7
4474,1.72727272727273
4475,3
4481,3.5
4476,27.4545454545455
4482,8.36363636363636
4484,76.5
4487,4.44444444444444
4443,82.1428571428571
4445,2.14285714285714
4446,1.4
4453,3.16666666666667
4506,1
4510,12.5454545454545
4092,2
3960,3.28571428571429
3965,11.2727272727273
3974,76.6666666666667
3976,1.75
3980,4.125
4029,1
4035,11.625
4036,6.54545454545455
4037,13.1818181818182
4038,2
4039,1.66666666666667
4041,11.4545454545455
3996,3.44444444444444
4006,1
4015,1
4016,13
4068,1
4127,2.66666666666667
4147,2.83333333333333
3954,3.4
3953,1.5
3947,1
3871,1
4161,1
3876,1
3878,1
3885,3.18181818181818
3826,3.375
3897,2
3902,1.57142857142857
3903,6.71428571428571
3942,1
4248,1
4249,1
4251,3
4252,3.66666666666667
4265,2.4
4244,1
4240,1.75
4163,5.22222222222222
4164,1.5
4211,2
4069,1.66666666666667
4075,1
4227,1.5
4229,1
715,3.5
4485,87.6
4573,1
4807,27.8888888888889
4823,9
4610,3.83333333333333
4293,35.5555555555556
4376,41.4
4422,29.4
5068,6.88888888888889
5363,4.8
5371,47.1111111111111
4887,3
4901,2
4923,29
5228,15.25
5262,44.125
4696,43.6
5414,48.6363636363636
3615,68
3661,1
3665,16.75
3369,1.33333333333333
3527,1.75
3822,1.33333333333333
3890,2.66666666666667
3941,1
4013,2.25
4128,9.72727272727273
4148,31.75
5449,18
5748,77
7169,2.11111111111111
7171,3.6
7175,2.5
7218,19.25
7220,7.33333333333333
7221,247.333333333333
7299,20
7333,1.14285714285714
7343,2.16666666666667
7356,7
7391,2
7396,1.6
7445,1
7459,64.2222222222222
7471,43.8888888888889
7511,44.5
7512,27.2222222222222
7524,10.5454545454545
7738,30.2727272727273
7737,29
7131,151.272727272727
7130,59.2727272727273
6740,52.4
6351,47.25
6354,39.7272727272727
6751,32.8571428571429
6777,24.2857142857143
6904,16.1428571428571
6916,36.5
6917,64.9090909090909
6953,22.4
6857,39.4
7066,63
7078,36
7118,25.5
7770,9
7814,63
7938,33
7945,19.5
7977,33
7978,13
7979,6
7907,79
7912,103
7916,67
8032,5
8092,318.5
8093,94.3333333333333
8096,5.22222222222222
8140,1
8147,1
8155,70.3636363636364
7895,22.3636363636364
7894,6.4
7815,1
7819,18.6666666666667
7820,18.25
7709,1
7849,10.375
7860,25.1818181818182
7856,1
7735,3
7882,2
7893,1.5
7670,2.5
6727,7
6721,1
6717,3.5
5580,1.8
5603,3.66666666666667
5605,14
5491,2.33333333333333
5801,2
5778,1.8
5527,2.71428571428571
5553,2.5
5554,1
6109,4
6490,2
6508,2.71428571428571
6286,8.42857142857143
6289,6.45454545454545
6574,1
6588,1
6594,1
6595,1
6622,1
6303,9.33333333333333
6635,2.88888888888889
6651,18.3636363636364
6653,2.6
6660,1.42857142857143
6665,1
6681,1.6
6699,1.25
6480,1.16666666666667
6495,1
6147,1.16666666666667
6185,3.7
6406,1
6268,1.11111111111111
6453,1
6466,1
6467,1.7
6475,1
1273,1
1301,1
1311,4.18181818181818
1317,1
1321,1
1357,1.5
1356,1
1227,2.1
677,2.66666666666667
687,1
700,2.125
795,1
816,1.2
835,2.33333333333333
963,8.57142857142857
971,1.33333333333333
975,1
1112,1
1226,1
1628,1
1653,4
1915,1.375
1928,2
1530,1.5
1607,9.125
657,4.22222222222222
1826,5.4
651,6.1
642,7.125
21567,1.625
21570,1
21771,1
21619,2.33333333333333
21785,2.66666666666667
21732,1
21747,94.1666666666667
21759,6.5
21766,13.5
21982,1
21983,1
21987,1
21861,1.71428571428571
21865,1.625
21871,6.5
21876,2.25
21906,1
21914,5.22222222222222
21996,21.8333333333333
22014,4.8
21562,1
21552,2.5
21536,7.81818181818182
20298,3
20299,12.1666666666667
20300,9.33333333333333
20315,11.4545454545455
21329,3.90909090909091
21336,3.14285714285714
21347,27.5555555555556
21494,3.3
21498,1.83333333333333
21499,4.33333333333333
21413,3.57142857142857
21422,19.1818181818182
21424,21
21425,4.42857142857143
21432,21.2222222222222
21434,1.25
21500,2
21447,1.6
21452,1
21456,9.6
21460,3.5
21455,2.8
21465,4.63636363636364
21523,4.9
155,1
156,12.2222222222222
257,6.125
258,2.8
372,1.75
407,10.1111111111111
410,2
481,1
482,2.28571428571429
484,14.4285714285714
496,1.85714285714286
498,1
534,1
560,5.625
154,4.4
151,12.0909090909091
98,13.3333333333333
22015,2.33333333333333
22079,2
22016,4.81818181818182
22111,14
22130,2
22134,1
22139,18.7
22151,31.3
32,26.5
33,11.3333333333333
34,58.1111111111111
45,4
51,6
49,1.5
60,2
85,1.5
8460,155
1958,91.5
1722,80
3152,63
3159,1.2
3138,20.4
3140,40.9090909090909
3007,19.4
3014,28.4545454545455
2670,1
3278,4.66666666666667
3291,73.1818181818182
3293,317.181818181818
3314,7.16666666666667
3318,83.6363636363636
2346,72.4545454545455
2349,35.4444444444444
2099,98.5454545454545
2110,44.5454545454545
2167,33.3
2171,1
2218,4.33333333333333
2219,2
2828,1.33333333333333
2925,1.5
2967,1
2503,1.66666666666667
2558,3
2579,6.16666666666667
2801,126
2504,76.5
8475,55.5
8478,35
8492,3
18925,117
18928,37.5
18935,19
18976,7.44444444444444
18977,3
18990,92.1818181818182
19046,1.25
19057,1
19062,6
19110,1.66666666666667
19129,1
19142,26
19464,29.4444444444444
19467,1
19468,2
19476,32.7272727272727
19154,40.6
19164,2.55555555555556
19413,6
19166,2.75
18896,2.33333333333333
18617,4.33333333333333
18619,4.66666666666667
18621,2
19350,2
18663,24.4444444444444
18664,134.363636363636
18669,2
18699,2.33333333333333
18713,9.16666666666667
18720,2
19362,1.33333333333333
19365,63.9090909090909
18761,19
18820,45.8
18823,97.4545454545455
18826,168.727272727273
18846,1
18899,4
19200,1
19232,28.625
19990,84.9090909090909
19789,3.75
19790,19
20002,1.66666666666667
20003,12.6666666666667
19803,2
19811,3
19826,6.22222222222222
19844,4.57142857142857
19863,1
20014,1
19899,149.125
19914,1.66666666666667
19915,109.444444444444
20053,50.3333333333333
20077,48.6666666666667
20085,6.83333333333333
19234,3
19240,19.3333333333333
19569,10.25
19577,37.4
19597,1
19601,17.625
19929,1.66666666666667
19634,1
19637,11.1111111111111
18612,1
19674,10.6
19716,1
19717,1
19718,1.5
19719,1.83333333333333
19749,1
19750,1.125
19776,1.75
19779,1
19793,1
18586,1
18580,1
17036,1
17064,1
17069,2
17082,1.5
17086,6.375
17122,2
17647,24.9
17161,9.66666666666667
17210,54.2
17213,3.2
17241,2.5
17273,2.25
17278,28.8333333333333
17710,3
17318,3
17343,1
17345,1.25
17361,2
17362,2.5
17378,2.6
17379,2.6
17380,3
17381,3
17625,3.25
17018,2.2
17017,3
16994,2
16482,4.5
16483,3
16519,3.4
16526,2.4
16587,2.5
16594,2.75
16623,2
16624,4.5
17398,1.5
16644,1
16662,1
16698,1
16740,2
16865,1
16890,2.25
16932,1
16934,1.66666666666667
16950,2
16986,1.25
16659,5.5
20101,1
17422,4.66666666666667
17433,6.14285714285714
18214,1.5
18271,86.5
18282,46.25
18294,15.6666666666667
18300,12
18318,2.5
18328,1
18350,1.66666666666667
18362,5.2
18366,7.8
18380,1
18384,1
18392,4
18449,1.33333333333333
18450,11.8
18462,11.3333333333333
18465,1.71428571428571
18473,2.125
18506,13.2727272727273
18507,1
18544,1
18557,2
18206,3.25
18200,1
18194,2
17452,1
17737,15.9090909090909
17480,19.0909090909091
17481,3.7
17482,4.2
17489,18.7272727272727
17527,1.25
17543,4.90909090909091
17544,2.16666666666667
17786,7.3
17429,7.90909090909091
17801,5.4
17862,1.66666666666667
17863,2
17914,1
17916,6.27272727272727
17918,1
17930,1.75
17955,2.54545454545455
18111,8.5
19259,13.25
19273,2.625
18169,1.77777777777778
18181,1
17809,29.5
20104,2
20108,2.42857142857143
111,2
113,1
136,25.875
149,7.375
153,4
50,2.16666666666667
52,1
53,5
54,1.57142857142857
59,1.16666666666667
72,2.5
75,2.57142857142857
88,3.875
89,3.33333333333333
93,1.5
202,1
210,1
535,2.125
556,1
213,1.2
259,2.72727272727273
267,2
276,1.5
306,11
308,2
317,1
321,1.5
325,2.14285714285714
48,2.44444444444444
389,1
421,1
424,2.2
439,1
451,1.25
471,7.71428571428571
375,3.5
44,2.66666666666667
42,11
21428,11.4545454545455
21446,2.42857142857143
21537,19
21538,20.5454545454545
21578,5.4
21582,1.5
21586,1.71428571428571
21650,1
21655,5.1
21782,4.8
21809,1
21980,1.16666666666667
21840,1
21862,3.8
21866,5.1
21870,2.5
20109,8
20194,2
20199,1
20228,1.2
20229,1
20230,1
20236,1.75
20237,7.28571428571429
21916,1
20245,1.3
20249,6.5
20948,1.66666666666667
20963,2.14285714285714
21333,3
21393,1
21395,9.90909090909091
21490,5.2
21497,6.1
20244,8.81818181818182
20106,2.125
21917,6.2
21928,3
35,5.81818181818182
22140,1
10260,1
16762,1.8
16772,1
16775,6.4
17690,2.5
17691,1
19,1
16760,13.4
16461,14.7272727272727
16451,5.54545454545455
11095,9
11357,44.5
11359,1.8
11360,2.28571428571429
11135,4.71428571428571
11136,6.2
11176,1
11184,1
11378,113.272727272727
11199,7
11380,2
11228,6.45454545454545
11231,5.72727272727273
11232,5.3
11388,16.4545454545455
11391,1
11407,1
8066,1
8067,68
11433,10
11454,10
11456,60
11513,142
11544,45
11576,33
11580,32
11094,49
11079,93
10836,1
10855,40.8888888888889
11304,7.8
11305,18.8
10921,44.6363636363636
10927,1
10928,1.83333333333333
10939,52.8181818181818
10944,207.818181818182
10949,36.0909090909091
11013,1.2
11016,1
11031,34.6
11041,1
11346,14.6666666666667
11064,20.9090909090909
11065,1.5
11082,55
11590,22.2222222222222
11599,15
11606,1
12229,27.2222222222222
12051,2.2
12062,1
12064,1
12266,1
12244,2.625
12245,103.333333333333
13071,1.33333333333333
12331,1
12337,1
12342,16.625
12361,1.8
12365,15.5
12401,2
12406,1
12416,1.57142857142857
13108,1
12426,7
12429,2
12432,4.77777777777778
12433,1
12465,3.33333333333333
13119,1
12492,1.5
12026,1
12190,1.5
11950,1
11938,1
11622,1.5
11623,1
11822,1.25
11651,4.22222222222222
11656,1
11657,1
11829,1
11671,1
11714,1.8
11756,4.33333333333333
11777,280.666666666667
11894,2
11899,94.3333333333333
11909,2
12112,1
12134,2.5
12135,1
11935,1
10800,6.11111111111111
10775,4
10774,1
9222,2
9223,4.44444444444444
8849,56.8181818181818
8863,134
8877,57.7272727272727
8960,1
8965,8.71428571428571
9033,30.7777777777778
9037,39.5454545454545
9041,1.5
9042,84.4545454545455
9043,1
9044,32
9075,3.8
9078,275.5
9090,80.4
9485,74.4444444444444
9507,77.7142857142857
10181,67.2
10185,32.2222222222222
9547,1
8769,1
8764,1.33333333333333
8749,1.25
8707,1.66666666666667
8497,95.2857142857143
8195,1.5
8233,4.1
8235,7.6
8303,8.33333333333333
8528,6.75
8536,1
8328,1.85714285714286
8329,1
8344,5.81818181818182
8358,2.11111111111111
8542,2
8376,1.5
8564,3.4
8576,1
8645,11.7272727272727
8661,1
8662,7
8663,1.33333333333333
8665,1
8683,1.8
8357,1
12520,4.90909090909091
10191,1.66666666666667
9634,1.33333333333333
10111,1.71428571428571
10159,1
10160,1
10161,3.16666666666667
10285,2.3
10171,3.88888888888889
10308,1
10325,3
10331,4.66666666666667
10359,8.33333333333333
10576,1.5
10578,3
10591,1
10392,2
10423,4.7
10426,2.6
10610,18.8
10452,1.6
10459,7
10510,4.22222222222222
10758,1
10766,1
10773,2.42857142857143
10106,1
10097,1.4
9640,2.57142857142857
9661,14.5
9698,1
9711,1.5
9741,1
9742,1
9755,1.5
10193,3.4
9769,4.6
9800,4.42857142857143
9801,9.72727272727273
9803,1.6
9589,3.75
9804,1
10225,1
10243,5.2
9906,63.875
9976,4.25
10265,13.375
10039,3.42857142857143
10277,1.6
12533,1
12550,1
15100,1.375
14627,3.6
15146,8.5
15148,1.71428571428571
15149,1.25
14730,1
14733,1.75
14752,1.75
14768,1
14777,3.6
14783,2.2
14798,6
14805,1.33333333333333
14863,2.71428571428571
14869,3.1
14870,1
14873,1.33333333333333
14880,3.7
14905,1.5
14498,1.33333333333333
14511,1
14516,2.5
14523,1
14527,1
14549,6.8
14560,8
14561,91.7272727272727
14564,2.66666666666667
14571,4.11111111111111
15038,1.2
15039,1
14579,1.25
15070,100.888888888889
15060,7.5
15540,27.75
16382,3.57142857142857
16385,3.33333333333333
16428,1.66666666666667
16430,6
16450,2.83333333333333
16381,1
15541,3.2
15944,1
15550,1
15551,7.66666666666667
15991,1.5
16253,4.66666666666667
15592,5
15613,4.90909090909091
15660,1
16316,1
15683,24.9090909090909
15695,2.11111111111111
15016,1.16666666666667
15700,3.1
15729,1
15734,1
16333,13.2727272727273
16355,2
16363,1
15822,1
15830,1
15723,2.14285714285714
15015,2.4
12807,13.2222222222222
12817,4.42857142857143
13569,13
12828,10.8181818181818
12829,5.77777777777778
12874,1
12903,3.33333333333333
12946,5.90909090909091
12947,1
12974,10.2727272727273
13733,1
13736,2.4
13033,12.7272727272727
13038,3.4
13042,12
13774,1
13832,5.6
14158,4
13854,1
12805,5.88888888888889
12797,6.66666666666667
12787,2
12737,2
12551,5
12554,3.66666666666667
13155,3.28571428571429
13157,2
13158,3.125
13160,12
13166,4.5
12597,1
13176,2.71428571428571
12614,3.42857142857143
12617,1
13868,1.2
12650,49.5454545454545
12651,1
12677,25.3636363636364
12691,2
12716,14.9
12718,1
12719,1
13484,1
13511,50
13429,28.5
13431,12.7777777777778
13450,1
12539,28.4
13870,9.25
13872,4.42857142857143
14320,1
14345,2.6
14346,2.25
14386,1
14387,5
14389,10.8333333333333
14390,28.3636363636364
14403,25.1818181818182
14404,13
14408,2
14411,1
14433,2.33333333333333
14447,1.8
14262,9.1
14261,1
14257,90.875
13881,7.5
13901,21.8571428571429
13937,8.85714285714286
13946,9.25
13950,1
13953,8
13957,1
14014,1.33333333333333
14005,30.9090909090909
14006,2.5
14212,25.7
14221,64.7142857142857
14037,53.5555555555556
14050,28.4
14066,4
14081,174
14109,44.2
14117,25.8
14254,1.33333333333333
14349,3
14354,7.42857142857143
14367,7.11111111111111
14373,4.85714285714286
14376,1
14380,18.5
14397,5.5
14401,4.8
14417,84.5
14936,1.66666666666667
14937,16.1666666666667
14938,23
14939,14.5
14266,2.5
14271,1.33333333333333
14280,2
14291,1
14292,3.83333333333333
14309,4.5
14315,1
14325,1
14328,5
14332,1
14453,2
14456,43.6363636363636
14470,1.5
15024,1.4
14488,9.85714285714286
14500,1
14503,3.57142857142857
14504,1
14515,1.5
14517,305.727272727273
14518,221.333333333333
14522,144.333333333333
15014,49.75
15013,35.6666666666667
14461,3.625
14462,1
15005,16
15010,3
14432,2
14249,33.3
14439,4.33333333333333
14248,1
14215,15
14216,21.5
14217,6
14218,126.909090909091
14220,15.8
14222,33.2
14226,29.5454545454545
14230,2.6
14031,7.1
14234,4.90909090909091
14039,84.3636363636364
14042,1.75
14213,1.16666666666667
14004,1
13915,1
13923,2.25
14169,62.0909090909091
13951,4
13952,30.5454545454545
13954,11.7777777777778
13955,27.25
13959,2
13972,15
13974,16.25
13977,11.75
13979,11
13978,4.66666666666667
14182,1
14183,13
14012,1
13988,13
14000,4
14210,8.5
14060,4
14137,8.75
14138,5.25
14140,3.5
14148,7.5
14239,35
14931,20
14245,6.6
14119,17.125
14110,71.0909090909091
14069,43.125
14076,1.75
14079,1
14080,1
14083,1.33333333333333
14085,139.363636363636
14090,1.5
14103,145.727272727273
14524,34.9090909090909
15026,42.2727272727273
14799,1
14800,31.0909090909091
14804,1.85714285714286
14806,8.85714285714286
15192,9
14811,14.1428571428571
14826,66.2727272727273
14788,19.0909090909091
14732,6
14738,21.875
14743,30.7
14746,1
14763,1
14767,30.8181818181818
14769,1
14773,79
14780,45.6666666666667
14782,111.090909090909
15203,66.1818181818182
15204,41.4285714285714
15205,1.66666666666667
14879,1
14886,1
14891,1
14894,1
14898,1
14899,1
15209,1
14901,3
14902,68.1818181818182
15202,1.33333333333333
14827,18.7
14856,1
14862,4
15194,23.0909090909091
15195,1.5
15196,3.8
15198,1.66666666666667
14708,1.6
14702,3.44444444444444
15090,2.4
15106,1
15091,7.5
15092,4
15094,9.83333333333333
15101,4
15031,22.3333333333333
15102,6.83333333333333
14611,1.8
14612,2
14617,1
15139,3.5
14626,1
14633,1
14634,13.125
14641,4.625
14646,1
14652,1.5
14661,1
15147,1
14669,4.4
14670,2
14682,1.66666666666667
14693,1.5
15104,1.5
14594,1
14595,2.4
14603,1.875
14607,1
15107,1
15114,97.7272727272727
15118,87.8181818181818
15128,1
15129,2.22222222222222
14610,1.33333333333333
14604,9.72727272727273
13911,1
13354,5.16666666666667
13355,1.44444444444444
13351,1
12727,1
13370,2.71428571428571
13383,1
13384,6.90909090909091
13454,1.66666666666667
13460,1.375
13478,2.42857142857143
13350,6.14285714285714
13480,2.33333333333333
13344,1
13345,1.5
13346,17
13418,10
13419,35.8
13425,1
13430,1
13517,10.125
12738,1
12741,1.66666666666667
13417,5
13490,1
13510,24.8181818181818
13413,1
13165,2
13169,1.33333333333333
12569,1.25
12576,7.72727272727273
12582,1
13175,1
12615,1.85714285714286
12618,4.90909090909091
12623,1.57142857142857
12625,1.5
12626,1
12627,1
12628,1
12632,1
12565,1
13163,4
12552,1
12553,30.4545454545455
12555,28.7272727272727
12559,1
12562,19.6363636363636
12563,11.375
12564,28.1818181818182
13137,32.3333333333333
13141,1
13147,5.625
13156,2.125
12750,1.33333333333333
12641,1
12678,2.8
12679,1
12684,27.6363636363636
13203,32.4545454545455
13204,9.6
12676,1
12644,1.5
13185,1.5
13186,9.54545454545454
12649,2.125
13196,1
12652,1
12653,1
12654,1
12658,12.3333333333333
12661,3
12668,9.9
12674,1
14911,1.83333333333333
12755,3
12757,368.2
13806,42.1666666666667
13814,37.3333333333333
